code,myName,saranoniTitle,matchScore,closest,productAvailable,optionDiff,descMatchPct,bulletMatchPct,saranoniImages650,myImageCount,notes
SAR-PTRN-FX-FUR,Patterned Faux Fur Throw Blanket,PATTERNED FAUX FUR THROW BLANKETS,1.10,,YES,Color: OUT OF STOCK at saranoni (hide): Black,63%,100% of 5 bullets,91,2,
SAR-PTRN-FX-FUR-XL-LG,Patterned Faux Fur XL Throw Blanket,PATTERNED FAUX FUR XL THROW BLANKETS,1.13,,YES,,66%,100% of 5 bullets,91,2,
SAR-RIBBED-BMB,Ribbed Bamboni® Throw Blanket,RIBBED BAMBONI® THROW BLANKETS,1.05,,YES,Color: OUT OF STOCK at saranoni (hide): Moonbeam,61%,100% of 4 bullets,18,2,
SAR-RIBBED-BMB-QUEEN-KING,Ribbed Bamboni® Queen/King Blanket,RIBBED BAMBONI® QUEEN/KING BLANKETS,1.10,,YES,,63%,100% of 4 bullets,13,2,
SAR-RIBBED-BMB-XL-LG,Ribbed Bamboni® XL Blanket,RIBBED BAMBONI® XL BLANKETS,1.05,,YES,Color: OUT OF STOCK at saranoni (hide): Moonbeam; Charcoal; Surf,59%,100% of 4 bullets,29,2,
SAR-SATIN-BACK-TOD,Satin Back Toddler Blanket,SATIN BACK TODDLER BLANKETS,1.05,,YES,Color: OUT OF STOCK at saranoni (hide): Navy Twinkle Star,70%,100% of 5 bullets,39,2,
SAR-SATIN-BORDER-TOD,Satin Border Toddler Blanket,SATIN BORDER TODDLER BLANKETS,1.05,,YES,Color: OUT OF STOCK at saranoni (hide): Mauve,70%,100% of 5 bullets,55,2,
SAR-SNUGGLER,Snuggler,SNUGGLER,1.00,,YES,Size: missing on my site: Teen | Size: OUT OF STOCK at saranoni (hide): Adult | Color: missing on my site: Rose Dust | Color: OUT OF STOCK at saranoni (hide): Hunter; Navy; Classic Leopard,65%,no bullets on saranoni,38,1,
SAR-STRETCHY-SWADDLES-HATS,"Stretchy Swaddle, Hat & Bow",NO MATCH FOUND,0.25,STRETCHY CRIB SHEETS,,,,,,,Could not confidently match on saranoni.com — review manually (may be discontinued: consider hiding product).
SAR-STUFFED-ANIMALS,Stuffed Animal,STUFFED ANIMAL ROCKERS,0.97,,YES,Style: on my site but not saranoni (hide?): Bunny; Lamb,22%,no bullets on saranoni,13,2,
SAR-STUFFED-ANML-LVYS,Stuffed Animal Lovey,STUFFED ANIMAL LOVEYS,0.97,,YES,Style: missing on my site: Lamb,58%,no bullets on saranoni,22,2,
SAR-STUFFED-ANML-ROCKERS,Stuffed Animal Rocker,STUFFED ANIMAL ROCKERS,0.97,,YES,,64%,no bullets on saranoni,13,2,
SAR-SUPERMAN-DBL-LAYER-BMB,Superman™ Double-Layer Bamboni® Blanket,Superman™ Double-Layer Bamboni®,1.10,,YES,Size: missing on my site: Receiving; Throw; XL | Size: on my site but not saranoni (hide?): Receiving [Additional $33.00]; Throw [Additional $117.00]; XL [Additional $167.00],54%,no bullets on saranoni,17,2,
SAR-VERY-HGRY-CAT-MNKY-STR,The Very Hungry Caterpillar™ Minky Stretch Luxe Blanket,THE VERY HUNGRY CATERPILLAR™ MINKY STRETCH LUXE BLANKETS,1.18,,ENTIRE PRODUCT OUT OF STOCK — HIDE,Size: OUT OF STOCK at saranoni (hide): Mini; Receiving; Toddler,66%,no bullets on saranoni,12,2,
SAR-WEARABLE,Wearable Blanket,WEARABLE BLANKETS,0.80,,YES,Size: missing on my site: Medium Minky; Medium Faux Fur | Size: on my site but not saranoni (hide?): Medium Faux Fur [Additional $3.00]; Medium Minky [Additional $3.00] | Color: OUT OF STOCK at saranoni (hide): Hazel,83%,100% of 4 bullets,32,1,
SAR-WFL-KNT,Waffle Knit Throw Blanket,WAFFLE KNIT THROW BLANKETS,1.05,,YES,,34%,no bullets on saranoni,28,2,
SAR-WFL-KNT-KING,Waffle Knit King Blanket,WAFFLE KNIT KING BLANKETS,1.05,,YES,Color: OUT OF STOCK at saranoni (hide): Chestnut,60%,no bullets on saranoni,28,2,
SAR-WFL-KNT-MINI,,NO MATCH FOUND,0.30,MYSTERY TODDLER GRAB BAG,,,,,,,Could not confidently match on saranoni.com — review manually (may be discontinued: consider hiding product).
SAR-WFL-KNT-QUEEN,Waffle Knit Queen Blanket,WAFFLE KNIT QUEEN BLANKETS,1.05,,YES,,49%,no bullets on saranoni,29,2,
SAR-WFL-KNT-ROBES,Waffle Knit Robe,WAFFLE KNIT ROBES,0.97,,YES,,38%,no bullets on saranoni,33,1,
SAR-WFL-KNT-TOD,Waffle Knit Toddler Blanket,WAFFLE KNIT TODDLER BLANKETS,1.05,,YES,,42%,no bullets on saranoni,25,2,
SAR-WFL-KNT-TWIN,Waffle Knit Twin Blanket,WAFFLE KNIT TWIN BLANKETS,1.05,,YES,,53%,no bullets on saranoni,27,2,
SAR-WFL-KNT-XL-LG,Waffle Knit XL Throw Blanket,WAFFLE KNIT XL THROW BLANKETS,1.10,,YES,Color: OUT OF STOCK at saranoni (hide): Chestnut,32%,no bullets on saranoni,28,2,
SAR-WIZARDIN-WORLD-CHARM,Wizarding World™ Charm Minky/Lush Blanket,Wizarding World™ Charm Minky/Lush,1.13,,YES,Size: missing on my site: Receiving; Toddler; XL | Size: on my site but not saranoni (hide?): Receiving [Additional $33.00]; Toddler [Additional $63.00]; XL [Additional $147.00],32%,no bullets on saranoni,16,2,
SAR-WONDER-WOMAN-DBL-LAYER,Wonder Woman™ Double-Layer Bamboni® Blanket,Wonder Woman™ Double-Layer Bamboni®,1.13,,YES,Size: missing on my site: Receiving; Throw; XL | Size: on my site but not saranoni (hide?): Receiving [Additional $33.00]; Throw [Additional $117.00]; XL [Additional $167.00],49%,no bullets on saranoni,17,2,
